                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 2.3219,                 1.4045,                 1.1443,                0.45099,                0.68852,                0.43592,                 0.1876,                 2.2344,                 1.7802,                 1.8212,               0.005446,               0.005446,               0.005446
                     48,                 2.2885,                 1.3812,                 1.1628,                 0.4815,                0.65574,                0.47424,                0.19061,                 2.2976,                 1.9515,                 1.8065,               0.005347,               0.005347,               0.005347
                     49,                 2.2578,                 1.3545,                 1.1274,                0.45202,                0.61475,                0.42549,                0.19156,                 2.0929,                 1.7303,                 1.7278,               0.005248,               0.005248,               0.005248
                     50,                 2.3309,                 1.4641,                 1.1714,                0.53078,                0.57377,                 0.5218,                0.21493,                 2.2154,                  1.629,                 1.7607,               0.005149,               0.005149,               0.005149
                     51,                 2.2804,                 1.3515,                 1.1224,                0.50159,                0.58197,                0.44673,                0.19757,                  2.117,                 1.6957,                 1.7469,                0.00505,                0.00505,                0.00505
                     52,                 2.3908,                 1.4534,                  1.163,                0.60765,                0.56557,                0.55079,                0.23585,                 2.1781,                 1.8132,                 1.7861,               0.004951,               0.004951,               0.004951
                     53,                 2.1959,                 1.3222,                  1.172,                0.45317,                0.48361,                0.37648,                0.16967,                 2.2171,                 1.8941,                 1.7809,               0.004852,               0.004852,               0.004852
                     54,                 2.2049,                 1.3672,                 1.1308,                0.50797,                0.65574,                0.53083,                0.23145,                 2.2177,                 1.6506,                 1.7472,               0.004753,               0.004753,               0.004753
                     55,                 2.2538,                 1.3285,                 1.1288,                0.48307,                0.58197,                0.43502,                0.19011,                 2.2202,                  1.746,                 1.7593,               0.004654,               0.004654,               0.004654
                     56,                 2.3113,                 1.2338,                 1.1015,                0.49235,                 0.6201,                 0.4965,                0.22528,                 2.2159,                 1.7659,                 1.7557,               0.004555,               0.004555,               0.004555
                     57,                 2.2199,                 1.3377,                 1.1231,                0.56184,                 0.5991,                0.48771,                0.21347,                 2.1631,                  1.777,                 1.6943,               0.004456,               0.004456,               0.004456
                     58,                  2.206,                 1.3108,                  1.134,                0.48673,                0.66393,                0.46411,                 0.2009,                 2.1851,                 1.8609,                 1.7142,               0.004357,               0.004357,               0.004357
                     59,                 2.2281,                 1.3304,                 1.1147,                0.38397,                 0.4918,                0.32271,                0.14059,                 2.1464,                 1.9737,                 1.7627,               0.004258,               0.004258,               0.004258
                     60,                 2.2058,                  1.319,                 1.1202,                0.38961,                0.54918,                0.31665,                0.14291,                 2.1394,                  1.952,                  1.759,               0.004159,               0.004159,               0.004159
                     61,                  2.263,                 1.2943,                 1.1483,                0.50401,                0.61636,                 0.4521,                 0.1862,                 2.1426,                  1.672,                 1.6992,                0.00406,                0.00406,                0.00406
                     62,                 2.0546,                 1.2018,                 1.1204,                0.46342,                0.67213,                0.46219,                0.21019,                 2.0725,                 1.7945,                 1.7093,               0.003961,               0.003961,               0.003961
