                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                  1.516,                0.85402,                 1.2957,                0.51073,                0.76152,                0.56252,                0.28886,                 1.8118,                 1.4702,                 1.3016,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.5524,                0.85282,                 1.2964,                0.46814,                0.80804,                0.55261,                 0.2987,                 1.6894,                 1.5078,                 1.2821,               0.001703,               0.001703,               0.001703
                     48,                 1.5428,                0.86673,                 1.2878,                0.47741,                0.79508,                0.58556,                0.28757,                 1.7499,                 1.5239,                 1.2739,              0.0016964,              0.0016964,              0.0016964
                     49,                 1.5474,                0.86698,                 1.2977,                0.52073,                0.81043,                0.54242,                0.28903,                 1.6033,                  1.503,                  1.246,              0.0016898,              0.0016898,              0.0016898
                     50,                 1.5218,                0.84488,                 1.2685,                0.50556,                0.79508,                0.50913,                0.25608,                 1.7018,                 1.5409,                 1.2647,              0.0016832,              0.0016832,              0.0016832
                     51,                 1.5313,                0.84631,                 1.2977,                0.53782,                 0.7459,                0.55097,                0.26917,                 1.8095,                 1.4267,                 1.3106,              0.0016766,              0.0016766,              0.0016766
                     52,                 1.5352,                0.85037,                 1.2974,                0.53286,                0.77049,                0.63117,                0.31507,                 1.7194,                 1.4285,                 1.2759,                0.00167,                0.00167,                0.00167
                     53,                 1.5046,                0.83884,                 1.2913,                0.53835,                 0.7623,                0.61868,                0.32892,                 1.6789,                 1.3648,                 1.2446,              0.0016634,              0.0016634,              0.0016634
                     54,                 1.5211,                0.85129,                 1.2742,                0.44742,                0.89344,                  0.561,                0.26957,                 1.8142,                 1.5093,                 1.3564,              0.0016568,              0.0016568,              0.0016568
                     55,                 1.5159,                0.84253,                 1.2987,                0.48035,                0.78689,                0.56943,                0.27776,                 1.7767,                 1.5102,                 1.2958,              0.0016502,              0.0016502,              0.0016502
                     56,                 1.4981,                0.81196,                 1.2646,                0.46424,                0.80257,                0.49049,                0.23996,                 1.7805,                 1.5258,                 1.2967,              0.0016436,              0.0016436,              0.0016436
